,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,BBC,Fri Jan 05 15:27:42 +0000 2018,"RT @BBCOne: So, what exactly is #HardSun? ? We'll let the cast and creator of the new drama do the explaining. 

Starts Saturday 6th Januar…",0.0,0.0,0.0,1.0,100
1,BBC,Fri Jan 05 14:33:07 +0000 2018,?? An estimated 2.5 billion disposable coffee cups are thrown away every year in the UK. Here are four ways we coul… https://t.co/vbD9THa8mC,0.0,0.0,0.0,1.0,99
2,BBC,Fri Jan 05 14:23:24 +0000 2018,"RT @bbcthree: In 2012, Naomi was the victim of an acid attack carried out by one of her oldest friends. https://t.co/TO8T2go4zq",-0.2732,0.118,0.198,0.684,98
3,BBC,Fri Jan 05 14:00:06 +0000 2018,"How do you keep your New Year's resolution to save cash? ?
This way, honest... https://t.co/vtkNULVdVW https://t.co/8UciSw865E",0.4939,0.176,0.0,0.824,97
4,BBC,Fri Jan 05 13:33:12 +0000 2018,Here's how the weather has looked around the world recently. ? ? ? https://t.co/TTYG5JmFJ1 https://t.co/qsRXK9ocgZ,0.0,0.0,0.0,1.0,96
5,BBC,Fri Jan 05 13:03:03 +0000 2018,New scanning technique reveals secret writing on the papyrus that mummy cases are made from. https://t.co/P3wzAgObHX https://t.co/2DsrzLfTdt,0.0,0.0,0.0,1.0,95
6,BBC,Fri Jan 05 12:30:05 +0000 2018,"When Zac Efron made Michael Jackson cry. ????
#TheGNShow https://t.co/GpSaONsWMG",-0.4767,0.0,0.256,0.744,94
7,BBC,Fri Jan 05 12:02:03 +0000 2018,People commonly believe they shouldn't drink on antibiotics. But the story isn't quite that simple. ??… https://t.co/3xEujlZozj,0.0,0.0,0.0,1.0,93
8,BBC,Fri Jan 05 11:33:04 +0000 2018,"? @JTimberlake has dropped his new track #Filthy! 
Here's everything we know so far about his comeback. ?… https://t.co/67mmIn0j1s",0.0,0.0,0.0,1.0,92
9,BBC,Fri Jan 05 11:00:07 +0000 2018,???? MPs are calling for a 25p #LatteLevy on disposable coffee cups - and a total ban unless recycling improves. Wh… https://t.co/ii2sTS0zJz,-0.2023,0.12,0.154,0.726,91
10,BBC,Fri Jan 05 10:27:02 +0000 2018,"This #NationalBirdDay, immerse yourself in the British countryside with four minutes of uninterrupted footage from… https://t.co/8rGItvhENP",0.0,0.0,0.0,1.0,90
11,BBC,Fri Jan 05 09:00:04 +0000 2018,Trying to stop suicides in Aokigahara forest in Japan. https://t.co/vMts4cvDWh https://t.co/WthsIMR0OY,-0.296,0.0,0.18,0.82,89
12,BBC,Fri Jan 05 08:51:15 +0000 2018,RT @BBCWorld: A celebration of black female photography https://t.co/D0GOq2Ekh3,0.0,0.0,0.0,1.0,88
13,BBC,Fri Jan 05 08:50:54 +0000 2018,RT @BBCNews: First openly transgender woman in British Vogue https://t.co/mFt1oG38ok,0.0,0.0,0.0,1.0,87
14,BBC,Fri Jan 05 08:47:27 +0000 2018,RT @BBCScotlandNews: Meet the electric skateboarders who can cut through traffic at 25mph. Another step closer to Marty McFly’s hoverboard……,-0.2732,0.0,0.1,0.9,86
15,BBC,Fri Jan 05 08:40:01 +0000 2018,RT @BBCNewsbeat: Jack has just touched down in the UK after being rescued from a dog meat farm in South Korea. 2.5 million dogs are killed…,0.4215,0.104,0.0,0.896,85
16,BBC,Fri Jan 05 08:40:01 +0000 2018,How to be a guide runner! ?? https://t.co/deQo8TwhkX,0.0,0.0,0.0,1.0,84
17,BBC,Fri Jan 05 08:21:04 +0000 2018,"'I wound down the window to stroke a lion'. ?
Zoo attacks and the people who survive them. ? https://t.co/2zDKPHayDx https://t.co/i5kBJt8EQw",-0.4404,0.0,0.146,0.854,83
18,BBC,Fri Jan 05 08:00:04 +0000 2018,"What’s life like as a blind, single mum? 
#EverydayHeroes https://t.co/KRAit5faWa",-0.0516,0.205,0.221,0.574,82
19,BBC,Fri Jan 05 07:38:04 +0000 2018,??10 books you need to read in 2018. https://t.co/9tTXN1VmjH https://t.co/OeJTjazpPj,0.0,0.0,0.0,1.0,81
20,BBC,Fri Jan 05 15:27:42 +0000 2018,"RT @BBCOne: So, what exactly is #HardSun? ? We'll let the cast and creator of the new drama do the explaining. 

Starts Saturday 6th Januar…",0.0,0.0,0.0,1.0,80
21,BBC,Fri Jan 05 14:33:07 +0000 2018,?? An estimated 2.5 billion disposable coffee cups are thrown away every year in the UK. Here are four ways we coul… https://t.co/vbD9THa8mC,0.0,0.0,0.0,1.0,79
